data;valor
2011-03-01;11.6
2011-04-01;11.72
2011-05-01;11.89
2011-06-01;12.05
2011-07-01;12.24
2011-08-01;12.4
2011-09-01;11.88
2011-10-01;11.68
2011-11-01;11.37
2011-12-01;10.87
2012-01-01;10.62
2012-02-01;10.3
2012-03-01;9.66
2012-04-01;9.19
2012-05-01;8.72
2012-06-01;8.35
2012-07-01;8.02
2012-08-01;7.78
2012-09-01;7.36
2012-10-01;7.18
2012-11-01;7.08
2012-12-01;6.94
2013-01-01;6.93
2013-02-01;6.96
2013-03-01;6.99
2013-04-01;7.1
2013-05-01;7.25
2013-06-01;7.72
2013-07-01;8.05
2013-08-01;8.27
2013-09-01;8.72
2013-10-01;9.16
2013-11-01;9.33
2013-12-01;9.78
2014-01-01;10.05
2014-02-01;10.32
2014-03-01;10.56
2014-04-01;10.77
2014-05-01;10.8
2014-06-01;10.8
2014-07-01;10.8
2014-08-01;10.82
2014-09-01;10.82
2014-10-01;10.85
2014-11-01;11.09
2014-12-01;11.51
2015-01-01;11.74
2015-02-01;12.09
2015-03-01;12.53
2015-04-01;12.63
2015-05-01;13.13
2015-06-01;13.57
2015-07-01;13.68
2015-08-01;14.13
2015-09-01;14.13
2015-10-01;14.13
2015-11-01;14.14
2015-12-01;14.14
2016-01-01;14.14
2016-02-01;14.13
2016-03-01;14.13
2016-04-01;14.13
2016-05-01;14.13
2016-06-01;14.13
2016-07-01;14.13
2016-08-01;14.13
2016-09-01;14.13
2016-10-01;14.03
2016-11-01;13.88
2016-12-01;13.63
2017-01-01;13.15
2017-02-01;12.8
2017-03-01;12.13
2017-04-01;11.57
2017-05-01;11.13
2017-06-01;10.14
2017-07-01;10.0
2017-08-01;9.14
2017-09-01;8.34
2017-10-01;8.0
2017-11-01;7.39
2017-12-01;6.99
2018-01-01;6.89
2018-02-01;6.71
2018-03-01;6.57
2018-04-01;6.39
2018-05-01;6.39
2018-06-01;6.39
2018-07-01;6.39
2018-08-01;6.39
2018-09-01;6.39
2018-10-01;6.4
2018-11-01;6.4
2018-12-01;6.4
2019-01-01;6.4
2019-02-01;6.4
2019-03-01;6.4
2019-04-01;6.4
2019-05-01;6.4
2019-06-01;6.4
2019-07-01;6.4
2019-08-01;5.9
2019-09-01;5.71
2019-10-01;5.38
2019-11-01;4.9
2019-12-01;4.59
2020-01-01;4.4
2020-02-01;4.19
2020-03-01;3.95
2020-04-01;3.65
2020-05-01;3.01
2020-06-01;2.58
2020-07-01;2.15
2020-08-01;1.94
2020-09-01;1.9
2020-10-01;1.9
2020-11-01;1.9
2020-12-01;1.9
2021-01-01;1.9
2021-02-01;1.9
2021-03-01;2.23
2021-04-01;2.65
2021-05-01;3.29
2021-06-01;3.76
2021-07-01;4.15
2021-08-01;5.01
2021-09-01;5.43
2021-10-01;6.3
2021-11-01;7.65
2021-12-01;8.76
2022-01-01;9.15
2022-02-01;10.49
2022-03-01;11.15
2022-04-01;11.65
2022-05-01;12.51
2022-06-01;12.89
2022-07-01;13.15
2022-08-01;13.58
2022-09-01;13.65
2022-10-01;13.65
2022-11-01;13.65
2022-12-01;13.65
2023-01-01;13.65
2023-02-01;13.65
2023-03-01;13.65
2023-04-01;13.65
2023-05-01;13.65
2023-06-01;13.65
2023-07-01;13.65
2023-08-01;13.19
2023-09-01;12.97
2023-10-01;12.65
2023-11-01;12.17
2023-12-01;11.87
2024-01-01;11.65
2024-02-01;11.15
2024-03-01;11.0
2024-04-01;10.65
2024-05-01;10.46
2024-06-01;10.4
2024-07-01;10.4
2024-08-01;10.4
2024-09-01;10.5
2024-10-01;10.65
2024-11-01;11.04
2024-12-01;11.77
2025-01-01;12.24
2025-02-01;13.15
2025-03-01;13.57
2025-04-01;14.15
2025-05-01;14.47
